Store,Items,Amount,Category
Local Clinic,prescription medicine doctor #8495,184.75,Healthcare
Chipotle,restaurant delivery,263.7,Food & Dining
Steam,streaming music game,40.39,Entertainment
Shell,transit transportation,43.83,Transportation
BP,transportation transit gas,77.86,Transportation
Local Clinic,medicine medical prescription,21.02,Healthcare
Spotify,streaming movie #5372,30.4,Entertainment
Netflix,music entertainment,19.92,Entertainment
Water Service,utility service,287.97,Bills & Utilities
Shell,ride,65.6,Transportation
Steam,game movie #6330,29.46,Entertainment
Local Clinic,health medicine medical,405.4,Healthcare
Walmart,groceries,176.94,Groceries
CVS,health medicine #3887,167.66,Healthcare
Kroger,bread meat,21.21,Groceries
Nike,shoes,171.38,Shopping
Electric Company,utility,385.28,Bills & Utilities
Verizon,bill #9939,406.22,Bills & Utilities
Electric Company,monthly bill utility,955.11,Bills & Utilities
Xbox,entertainment movie streaming,45.49,Entertainment
Walgreens,prescription,248.49,Healthcare
Amazon,accessories purchase electronics,88.8,Shopping
Unknown Vendor,misc,384.63,Others
BP,transit,14.26,Transportation
CVS,medicine,51.72,Healthcare
Spotify,music,45.58,Entertainment
Various Services,service general other,317.17,Others
Electric Company,payment service,330.32,Bills & Utilities
Verizon,payment,202.7,Bills & Utilities
CVS,prescription medical,154.1,Healthcare
Spotify,music movie entertainment,31.09,Entertainment
Various Services,general misc service,614.63,Others
H&M,electronics,280.19,Shopping
CVS,doctor,408.63,Healthcare
Best Buy,purchase #1123,223.94,Shopping
Miscellaneous,service misc payment,945.73,Others
McDonalds,delivery meal dinner,593.87,Food & Dining
Nike,clothes electronics accessories,178.78,Shopping
CVS,medicine doctor,30.52,Healthcare
Shell,taxi transportation #5870,61.6,Transportation
Safeway,meat produce food,126.55,Groceries
Shell,transit fuel,50.68,Transportation
Quest Diagnostics,health prescription #4732,162.38,Healthcare
Verizon,monthly,187.98,Bills & Utilities
Amazon,accessories,291.83,Shopping
Netflix,streaming game movie,14.53,Entertainment
McDonalds,meal lunch #8200,69.63,Food & Dining
CVS,medical doctor,369.07,Healthcare
Local Restaurant,lunch restaurant dinner,889.77,Food & Dining
AT&T,utility,63.37,Bills & Utilities
Water Service,utility payment bill,29.24,Bills & Utilities
Safeway,groceries bread food,55.93,Groceries
Miscellaneous,other general payment,53.85,Others
Local Clinic,medicine medical,267.32,Healthcare
Safeway,dairy meat produce,199.3,Groceries
Various Services,other service misc,694.12,Others
Verizon,monthly #1039,47.51,Bills & Utilities
Verizon,bill monthly service,470.04,Bills & Utilities
Nike,purchase,54.22,Shopping
Kroger,dairy bread #5234,186.19,Groceries
Electric Company,payment #8459,532.53,Bills & Utilities
McDonalds,meal takeout delivery,651.34,Food & Dining
Subway,restaurant,819.06,Food & Dining
Walmart,groceries #9885,140.76,Groceries
Miscellaneous,payment service,424.95,Others
Nike,clothes electronics,91.21,Shopping
Uber,fuel,38.34,Transportation
Chipotle,lunch,108.83,Food & Dining
Electric Company,payment monthly,266.15,Bills & Utilities
Subway,delivery takeout #7635,717.88,Food & Dining
CVS,prescription #9836,45.89,Healthcare
McDonalds,takeout,651.33,Food & Dining
Miscellaneous,payment,602.17,Others
CVS,doctor medical health,67.33,Healthcare
Steam,movie music streaming,40.01,Entertainment
Miscellaneous,misc service #9376,11.23,Others
Walmart,bread meat produce,117.27,Groceries
Walmart,meat produce,141.33,Groceries
Whole Foods,dairy #6502,192.17,Groceries
Lyft,transportation ride transit,25.86,Transportation
Local Restaurant,dinner restaurant meal,735.48,Food & Dining
BP,ride,47.5,Transportation
Netflix,music game movie,22.49,Entertainment
Amazon,purchase shoes,41.25,Shopping
Quest Diagnostics,prescription doctor medical,293.59,Healthcare
Miscellaneous,other misc,213.53,Others
Pizza Hut,lunch delivery #8607,251.21,Food & Dining
Walgreens,prescription medical,484.58,Healthcare
Spotify,music entertainment movie,18.02,Entertainment
Water Service,service payment,170.3,Bills & Utilities
Steam,game movie music #6028,36.11,Entertainment
H&M,clothes shoes,46.68,Shopping
Subway,dinner delivery #4926,144.88,Food & Dining
Chipotle,meal dinner #6181,415.28,Food & Dining
Local Clinic,health medicine medical #5166,52.73,Healthcare
Various Services,other,770.25,Others
Metro,fuel,30.14,Transportation
Various Services,general misc service,902.13,Others
Whole Foods,produce meat bread #6811,178.76,Groceries
Walmart,food,91.8,Groceries
Walgreens,prescription medicine health,475.69,Healthcare
Metro,transit taxi,53.89,Transportation
Walmart,meat,37.56,Groceries
Local Clinic,doctor prescription health,424.3,Healthcare
Netflix,movie,40.01,Entertainment
Netflix,game entertainment music,19.84,Entertainment
Walgreens,health medical prescription #9951,313.46,Healthcare
Xbox,entertainment streaming #8999,43.93,Entertainment
H&M,clothes electronics purchase,235.03,Shopping
Spotify,entertainment streaming,42.99,Entertainment
BP,gas #4358,13.46,Transportation
Various Services,payment,935.23,Others
AT&T,service monthly,311.95,Bills & Utilities
Local Clinic,medical prescription #4456,160.84,Healthcare
Shell,transit fuel,52.47,Transportation
Kroger,food produce,72.62,Groceries
Subway,delivery #3351,344.43,Food & Dining
Shell,gas,6.7,Transportation
Whole Foods,food,194.64,Groceries
AT&T,bill service #7423,437.5,Bills & Utilities
Spotify,game entertainment movie,11.59,Entertainment
Various Services,service #2688,382.47,Others
H&M,electronics accessories,76.77,Shopping
H&M,shoes purchase #1052,294.22,Shopping
Verizon,utility payment bill #8570,996.38,Bills & Utilities
Walmart,dairy #9215,170.8,Groceries
Verizon,monthly,560.49,Bills & Utilities
Metro,transit ride taxi,50.97,Transportation
Steam,game,46.02,Entertainment
Trader Joes,food bread,147.13,Groceries
Local Clinic,prescription,260.11,Healthcare
Steam,streaming movie,27.85,Entertainment
Amazon,accessories purchase clothes,260.53,Shopping
Local Clinic,prescription medicine medical,452.77,Healthcare
Safeway,meat food dairy #5728,153.89,Groceries
AT&T,monthly payment,37.23,Bills & Utilities
Chipotle,lunch takeout meal,296.36,Food & Dining
Xbox,movie streaming,32.25,Entertainment
Nike,clothes,123.5,Shopping
Safeway,bread food #3405,43.63,Groceries
Steam,entertainment streaming music,30.48,Entertainment
Water Service,bill,758.44,Bills & Utilities
McDonalds,delivery lunch dinner,390.73,Food & Dining
Water Service,monthly payment,859.09,Bills & Utilities
Verizon,bill payment #7586,579.9,Bills & Utilities
Walgreens,prescription doctor,291.63,Healthcare
Quest Diagnostics,medical prescription doctor #3511,156.59,Healthcare
Target,accessories electronics clothes,223.07,Shopping
Verizon,monthly service bill,688.87,Bills & Utilities
Chipotle,lunch takeout,44.96,Food & Dining
Lyft,taxi transportation #6665,77.44,Transportation
Amazon,accessories clothes electronics,280.86,Shopping
McDonalds,restaurant delivery #3495,227.42,Food & Dining
McDonalds,delivery,376.31,Food & Dining
Various Services,other payment service #4328,443.67,Others
Pizza Hut,delivery meal dinner,250.23,Food & Dining
Netflix,game #6561,17.56,Entertainment
Amazon,electronics purchase,137.03,Shopping
Amazon,clothes shoes accessories,217.11,Shopping
Kroger,produce #3148,32.81,Groceries
CVS,doctor,107.19,Healthcare
Best Buy,purchase clothes electronics #9868,274.82,Shopping
Chipotle,takeout,956.62,Food & Dining
Pizza Hut,lunch takeout restaurant,707.16,Food & Dining
Quest Diagnostics,medicine,408.62,Healthcare
Nike,accessories purchase electronics,168.19,Shopping
Verizon,payment bill,950.55,Bills & Utilities
Amazon,clothes shoes purchase,37.9,Shopping
Quest Diagnostics,medicine,474.9,Healthcare
Electric Company,payment,349.8,Bills & Utilities
AMC Theaters,entertainment streaming music,23.49,Entertainment
AT&T,monthly payment utility,694.94,Bills & Utilities
McDonalds,delivery meal takeout,612.6,Food & Dining
Chipotle,restaurant,61.07,Food & Dining
Target,purchase,198.8,Shopping
Shell,ride transportation taxi #5562,66.84,Transportation
Walmart,produce groceries bread,188.64,Groceries
BP,ride,58.81,Transportation
Amazon,electronics,51.14,Shopping
CVS,medical health prescription #1400,464.27,Healthcare
Chipotle,meal lunch,152.27,Food & Dining
Lyft,taxi transit transportation #6938,30.96,Transportation
Safeway,meat #3380,39.29,Groceries
Metro,ride gas fuel,71.52,Transportation
Lyft,taxi gas,75.01,Transportation
Best Buy,electronics,39.74,Shopping
Safeway,bread produce groceries #9403,136.08,Groceries
Water Service,service utility,943.71,Bills & Utilities
Safeway,produce food dairy #8812,188.29,Groceries
McDonalds,dinner lunch,26.47,Food & Dining
Xbox,entertainment game streaming,24.96,Entertainment
Spotify,game,42.79,Entertainment
Spotify,music entertainment streaming,19.66,Entertainment
Uber,transit gas,59.89,Transportation
AMC Theaters,entertainment music game #8010,46.82,Entertainment
Uber,gas taxi #9184,8.45,Transportation
Trader Joes,meat #1259,117.8,Groceries
AMC Theaters,streaming music game,44.18,Entertainment
Local Clinic,medical,370.48,Healthcare
Walgreens,doctor health,428.16,Healthcare
Quest Diagnostics,medicine medical doctor,452.46,Healthcare
Nike,electronics accessories purchase,179.44,Shopping
Verizon,utility #8388,512.01,Bills & Utilities
BP,ride transit fuel,8.46,Transportation
Walmart,bread meat dairy,66.37,Groceries
Verizon,bill service,689.29,Bills & Utilities
Miscellaneous,misc #1233,745.57,Others
Various Services,misc #5840,443.06,Others
Unknown Vendor,payment other general #7728,19.27,Others
Target,shoes accessories clothes #9235,282.2,Shopping
Best Buy,electronics #9923,240.04,Shopping
Xbox,movie entertainment streaming,14.02,Entertainment
Local Clinic,doctor,406.36,Healthcare
Miscellaneous,payment general misc,370.34,Others
Shell,transit,78.68,Transportation
Chipotle,lunch dinner meal,204.56,Food & Dining
McDonalds,lunch meal restaurant #9506,100.84,Food & Dining
Local Clinic,health medicine doctor #5294,303.24,Healthcare
Lyft,ride taxi fuel,67.3,Transportation
Steam,game streaming movie,33.97,Entertainment
AT&T,bill,212.0,Bills & Utilities
AT&T,monthly payment service,280.79,Bills & Utilities
Whole Foods,food,89.7,Groceries
Electric Company,utility bill,86.54,Bills & Utilities
Kroger,produce dairy #9637,57.11,Groceries
Quest Diagnostics,health medical medicine,56.95,Healthcare
Water Service,payment,412.42,Bills & Utilities
Local Restaurant,dinner #4880,12.38,Food & Dining
Trader Joes,produce food,144.65,Groceries
Water Service,bill utility monthly,373.85,Bills & Utilities
Pizza Hut,lunch delivery #7736,764.12,Food & Dining
Local Clinic,health prescription medical,66.27,Healthcare
H&M,purchase electronics,251.23,Shopping
Subway,meal delivery lunch #2984,212.89,Food & Dining
BP,transportation transit ride,59.34,Transportation
AMC Theaters,streaming entertainment game #5072,43.97,Entertainment
Miscellaneous,general service #4216,367.85,Others
H&M,electronics #5979,48.36,Shopping
Kroger,food dairy,161.04,Groceries
Unknown Vendor,misc general service,865.42,Others
Shell,fuel #4945,71.71,Transportation
Miscellaneous,misc service other,879.74,Others
Local Clinic,health prescription,361.12,Healthcare
Safeway,meat bread produce #5660,139.87,Groceries
Xbox,movie game,36.23,Entertainment
Target,shoes,104.97,Shopping
Local Restaurant,dinner restaurant lunch,180.63,Food & Dining
Electric Company,service utility #7777,636.83,Bills & Utilities
Trader Joes,produce,53.26,Groceries
Local Restaurant,delivery dinner takeout,892.92,Food & Dining
Shell,fuel gas taxi,39.34,Transportation
Subway,takeout,457.93,Food & Dining
Water Service,bill #7074,617.57,Bills & Utilities
Trader Joes,bread food produce,178.48,Groceries
BP,gas transit transportation,66.62,Transportation
Steam,streaming movie,38.17,Entertainment
Safeway,groceries produce,42.07,Groceries
Amazon,shoes accessories electronics #6981,83.36,Shopping
Walgreens,prescription #7214,137.09,Healthcare
Electric Company,service utility bill,343.35,Bills & Utilities
Local Restaurant,restaurant dinner lunch #4737,163.52,Food & Dining
Water Service,bill utility #4333,790.13,Bills & Utilities
CVS,medicine doctor medical #4662,351.38,Healthcare
Local Restaurant,lunch takeout,296.26,Food & Dining
Electric Company,payment #1756,342.08,Bills & Utilities
Metro,gas transit,29.18,Transportation
Walmart,dairy bread groceries #1028,123.33,Groceries
Verizon,utility,441.52,Bills & Utilities
Water Service,bill service #8369,991.93,Bills & Utilities
BP,ride,17.49,Transportation
Nike,electronics #3490,249.56,Shopping
Trader Joes,food bread #4783,92.43,Groceries
Metro,ride transportation #9147,56.09,Transportation
Kroger,bread groceries,88.1,Groceries
Verizon,payment service utility,329.42,Bills & Utilities
Unknown Vendor,general other service,267.83,Others
Whole Foods,dairy,79.28,Groceries
Chipotle,meal restaurant #4908,574.65,Food & Dining
Various Services,misc payment other #2307,55.27,Others
Electric Company,utility payment monthly #2292,871.96,Bills & Utilities
Shell,gas transportation transit,17.32,Transportation
CVS,doctor medicine #4882,190.96,Healthcare
Pizza Hut,meal restaurant,973.21,Food & Dining
Various Services,service other,357.75,Others
Walmart,groceries dairy,194.72,Groceries
Trader Joes,produce,149.29,Groceries
Safeway,groceries meat,115.19,Groceries
Whole Foods,groceries #6608,134.99,Groceries
Uber,transportation,49.04,Transportation
Walmart,groceries meat food,81.16,Groceries
Xbox,movie streaming #4363,28.18,Entertainment
Whole Foods,dairy food,50.93,Groceries
Unknown Vendor,misc other,507.71,Others
Chipotle,restaurant dinner takeout #6366,770.97,Food & Dining
Verizon,payment bill,31.38,Bills & Utilities
Walmart,bread meat produce,169.3,Groceries
CVS,medicine doctor medical #2701,197.37,Healthcare
Unknown Vendor,general other,489.68,Others
Unknown Vendor,general other payment #9880,249.83,Others
Miscellaneous,service,976.05,Others
Quest Diagnostics,doctor medical prescription,238.18,Healthcare
AMC Theaters,movie game,28.26,Entertainment
Spotify,streaming entertainment music,42.83,Entertainment
CVS,health medicine doctor,252.22,Healthcare
Pizza Hut,delivery,80.51,Food & Dining
McDonalds,meal lunch delivery,52.19,Food & Dining
Target,purchase,21.87,Shopping
Walmart,bread,161.23,Groceries
Amazon,accessories,246.03,Shopping
Trader Joes,groceries,134.22,Groceries
Walgreens,health doctor #2806,134.6,Healthcare
CVS,medical doctor,223.49,Healthcare
Electric Company,payment monthly,550.56,Bills & Utilities
AT&T,monthly,544.77,Bills & Utilities
McDonalds,restaurant meal delivery,427.28,Food & Dining
Pizza Hut,delivery #4704,375.9,Food & Dining
Walgreens,doctor prescription health,380.54,Healthcare
Uber,transportation transit,35.6,Transportation
Uber,ride taxi,35.37,Transportation
Nike,accessories shoes purchase,239.67,Shopping
Shell,gas,61.1,Transportation
Uber,ride transit fuel,59.8,Transportation
Various Services,other misc payment #9002,114.94,Others
Various Services,service payment #5938,29.0,Others
Safeway,groceries bread,160.35,Groceries
Subway,delivery dinner takeout #9121,529.36,Food & Dining
Walmart,bread meat food,64.08,Groceries
Quest Diagnostics,medical doctor medicine,43.97,Healthcare
Local Restaurant,takeout lunch meal #7613,690.82,Food & Dining
Steam,streaming entertainment game,13.83,Entertainment
Pizza Hut,lunch meal #5931,796.55,Food & Dining
Various Services,general service payment #1225,170.39,Others
Walmart,dairy groceries,104.63,Groceries
BP,transit taxi fuel,6.47,Transportation
Trader Joes,food produce dairy #9367,39.31,Groceries
Best Buy,clothes purchase,119.6,Shopping
Amazon,shoes clothes electronics,266.33,Shopping
Electric Company,utility #8736,124.6,Bills & Utilities
Verizon,bill monthly service,197.33,Bills & Utilities
